LANDID;DID;LandName;REKURID;StadtName;Stadt;SonneStrand;Party;Wintersport;WellnessGesundheit;NaturCamping;SportFahrradWandern;Kreuzfahrt;Kultur
9;9001;Spanien;40;A Coruna;0;0;0;0;0;0;0;1;0
3;3001;Frankreich;10;Ajaccio;0;0;0;0;0;0;0;1;0
7;7001;Niederlande;52;Amsterdam;1;0;1;0;0;0;0;1;1
5;5001;Griechenland;70;Athen;1;1;1;0;0;0;0;1;1
9;9002;Spanien;34;Barcelona;1;1;1;0;0;0;0;1;1
6;6001;Italien;24;Bari;0;0;0;0;0;0;0;1;0
4;4001;Deutschland;64;Berlin;1;0;1;0;0;0;0;0;1
9;9003;Spanien;6;Bilbao;0;0;0;0;0;0;0;1;1
3;3002;Frankreich;28;Bordeaux;1;1;1;0;0;0;0;1;1
4;4002;Deutschland;58;Bremen;1;0;1;0;0;0;0;0;1
4;4003;Deutschland;19;Bremerhaven;0;0;0;0;0;0;0;1;0
8;8001;Polen;65;Breslau;1;0;1;0;0;0;0;0;1
3;3003;Frankreich;2;Brest;0;0;0;0;0;0;0;1;0
9;9004;Spanien;7;Cadiz;0;0;0;0;0;0;0;1;0
6;6002;Italien;13;Civitavecchia;0;0;0;0;0;0;0;1;0
4;4004;Deutschland;20;Cuxhafen;0;0;0;0;0;0;0;1;0
7;7003;Niederlande;50;Den Haag;1;0;0;0;0;0;0;0;0
4;4005;Deutschland;55;Dortmund;1;0;1;0;0;0;0;0;1
4;4006;Deutschland;62;Dresden;1;0;1;0;0;0;0;0;1
4;4007;Deutschland;53;Duesseldorf;1;0;1;0;0;0;0;0;1
4;4008;Deutschland;54;Essen;1;0;1;0;0;0;0;0;1
4;4009;Deutschland;57;Frankfurt am Main;1;0;1;0;0;0;0;0;1
8;8002;Polen;23;Gdynia;0;0;0;0;0;0;0;1;0
6;6003;Italien;12;Genua;1;1;1;0;0;0;0;1;1
4;4010;Deutschland;61;Hamburg;1;0;1;0;0;0;0;1;1
4;4011;Deutschland;59;Hannover;1;0;1;0;0;0;0;0;1
5;5002;Griechenland;25;Heraklion;0;1;0;0;0;0;0;1;1
10;101;Tuerkei;71;Istanbul;1;1;1;0;0;0;0;1;1
4;4012;Deutschland;21;Kiel;0;0;0;0;0;0;0;1;0
4;4013;Deutschland;56;Koeln;1;0;1;0;0;0;0;0;1
8;8003;Polen;68;Krakau;1;0;1;0;0;0;0;0;1
3;3004;Frankreich;4;La Rochelle;0;0;0;0;0;0;0;1;0
3;3005;Frankreich;18;Le Havre;0;0;0;0;0;0;0;1;0
4;4014;Deutschland;63;Leipzig;1;0;1;0;0;0;0;0;1
3;3006;Frankreich;49;Lille;1;0;1;0;0;0;0;0;1
5;5003;Griechenland;26;Limassol;0;1;0;0;0;0;0;1;0
8;8004;Polen;67;Lodz;1;0;1;0;0;0;0;0;1
3;3007;Frankreich;36;Lyon;1;0;1;0;0;0;0;0;1
9;9005;Spanien;31;Madrid;1;0;1;0;0;0;0;0;1
6;6004;Italien;41;Mailand;1;0;1;0;0;0;0;0;1
9;9006;Spanien;8;Malaga;1;1;1;0;0;0;0;1;1
3;3008;Frankreich;38;Marseille;1;1;1;0;0;0;0;1;1
6;6005;Italien;17;Messina;0;0;0;0;0;0;0;1;0
4;4015;Deutschland;43;Muenchen;1;0;1;0;0;0;0;0;1
3;3009;Frankreich;27;Nantes;1;0;1;0;0;0;0;1;1
6;6006;Italien;48;Neapel;1;1;1;0;0;0;0;1;1
3;3010;Frankreich;39;Nizza;1;1;1;0;0;0;0;1;1
4;4016;Deutschland;60;Nuernberg;1;0;1;0;0;0;0;0;1
6;6007;Italien;47;Palermo;1;1;1;0;0;0;0;1;1
9;9007;Spanien;9;Palma de Mallorca;0;1;1;0;0;0;0;1;0
3;3011;Frankreich;35;Paris;1;0;1;0;0;0;0;0;1
8;8005;Polen;66;Posen;1;0;1;0;0;0;0;0;1
6;6008;Italien;46;Rom;1;0;1;0;0;0;0;1;1
4;4017;Deutschland;22;Rostock;0;0;0;0;0;0;0;1;0
7;7002;Niederlande;51;Rotterdam;1;0;1;0;0;0;0;1;1
3;3012;Frankreich;3;Saint Malo;0;0;0;0;0;0;0;1;0
9;9008;Spanien;5;Santander;0;0;0;0;0;0;0;1;0
6;6009;Italien;11;Savona;0;0;0;0;0;0;0;1;0
9;9010;Spanien;30;Sevilla;1;0;1;0;0;0;0;0;1
6;6010;Italien;16;Siracusa;0;0;0;0;0;0;0;1;0
4;4018;Deutschland;42;Stuttgart;1;0;1;0;0;0;0;0;1
3;3013;Frankreich;33;Toulouse;1;0;1;0;0;0;0;0;1
6;6011;Italien;15;Triest;0;0;0;0;0;0;0;1;0
6;6012;Italien;37;Turin;1;0;1;0;0;0;0;0;1
9;9011;Spanien;32;Valencia;1;1;1;0;0;0;0;1;1
6;6013;Italien;14;Venedig;0;0;0;0;0;0;0;1;0
9;9012;Spanien;1;Vigo;0;0;0;0;0;0;0;1;0
8;8006;Polen;69;Warschau;1;0;1;0;0;0;0;0;1
1;1001;Oesterreich;44;Wien;1;0;1;0;0;0;0;0;1
2;2001;Kroatien;45;Zagreb;1;0;1;0;0;0;0;0;1
9;9009;Spanien;29;Zaragoza;1;0;1;0;0;0;0;0;1
